text,labels
Peneliti memakai pembelajaran mesin untuk memprediksi cuaca ekstrem,teknologi
Standar jaringan nirkabel terbaru menjanjikan kecepatan unduh lebih tinggi,teknologi
Aplikasi pesan menambahkan enkripsi untuk melindungi percakapan pengguna,teknologi
Robot industri menggantikan pekerjaan berulang pada lini perakitan pabrik,teknologi
Perusahaan teknologi memamerkan perangkat realitas tertambah pada konferensi tahunan,teknologi
Pengguna aplikasi mengeluhkan gangguan layanan setelah pembaruan terbaru,teknologi
Kecerdasan buatan dipakai menganalisis data medis di rumah sakit rujukan,teknologi
Nilai tukar rupiah menguat terhadap dolar pada perdagangan hari ini,ekonomi
Bank sentral memutuskan menahan suku bunga acuan pada level yang sama,ekonomi
Inflasi tahunan tercatat lebih rendah dari perkiraan para ekonom,ekonomi
Harga minyak dunia naik akibat kekhawatiran pasokan dari negara produsen,ekonomi
Indeks harga saham gabungan ditutup menguat didorong sektor perbankan,ekonomi
Pemerintah menargetkan pertumbuhan ekonomi lima persen pada tahun depan,ekonomi|politik
Nilai ekspor produk manufaktur meningkat dibanding periode tahun lalu,ekonomi
Investasi asing tumbuh signifikan pada kuartal kedua tahun ini,ekonomi
Daya beli masyarakat membaik seiring turunnya harga bahan pangan,ekonomi
Perusahaan itu membukukan laba lebih tinggi dari proyeksi para analis,ekonomi
Defisit anggaran ditekan melalui efisiensi belanja kementerian,ekonomi|politik
Harga emas dunia mencetak rekor tertinggi dalam satu dekade,ekonomi
Sektor pariwisata pulih dengan lonjakan kunjungan wisatawan asing,ekonomi
Kredit usaha mikro disalurkan bank untuk mendorong pertumbuhan sektor riil,ekonomi
Neraca perdagangan mencatat surplus selama enam bulan berturut-turut,ekonomi
Upah minimum ditetapkan naik pada tahun anggaran berikutnya,ekonomi
Pasar obligasi diminati investor seiring imbal hasil yang menarik,ekonomi|olahraga
Subsidi energi dialihkan agar tepat sasaran bagi rumah tangga miskin,ekonomi
Utang luar negeri dilaporkan turun tipis pada akhir kuartal ketiga,ekonomi
Industri tekstil tertekan akibat melemahnya permintaan pasar global,ekonomi
Harga pangan naik menjelang akhir tahun menekan inflasi bulanan,ekonomi
Bank memangkas proyeksi pertumbuhan ekonomi akibat perlambatan ekspor,ekonomi
Dewan menyetujui rancangan undang-undang setelah pembahasan panjang,politik
Presiden melakukan kunjungan kenegaraan membahas kerja sama bilateral,politik
Partai koalisi menyatakan dukungan terhadap calon yang diusung bersama,politik
Komisi pemilihan menetapkan jadwal tahapan pemilu tahun depan,politik
Menteri menjelaskan kebijakan baru dalam rapat kerja bersama dewan,politik
Kepala daerah dilantik setelah sengketa hasil pemilu selesai diputus,politik
Kedua negara membahas isu perbatasan dalam pertemuan tertutup,politik
Fraksi oposisi mengkritik anggaran yang dinilai kurang tepat sasaran,ekonomi|politik
Survei menunjukkan kepuasan publik terhadap pemerintah meningkat,politik
Sidang paripurna menetapkan pimpinan lembaga negara periode berikutnya,politik
Presiden mengumumkan perombakan kabinet setelah evaluasi kinerja menteri,politik
Aliansi masyarakat sipil menggelar aksi menolak revisi undang-undang itu,politik
Delegasi kedua negara menandatangani nota kesepahaman kerja sama,politik|teknologi
Dewan membentuk panitia khusus untuk menyelidiki kasus tersebut,politik
Calon kepala daerah mendaftar pada hari terakhir masa pendaftaran pemilu,politik
Pemerintah daerah mengalokasikan anggaran tambahan untuk sektor pendidikan,ekonomi|politik
Sengketa hasil pemilu diajukan ke mahkamah oleh partai yang kalah,politik
Rapat konsultasi membahas mekanisme pengawasan lembaga independen,politik
Pemimpin partai menyerukan konsolidasi menjelang tahun politik,politik
Kebijakan luar negeri difokuskan pada penguatan kerja sama kawasan,politik
Menteri dan dewan menyepakati revisi anggaran kementerian tahun ini,ekonomi|politik
Partai oposisi menolak kebijakan pemerintah soal subsidi,ekonomi|politik
