text,target
There's a little creepy house in a little creepy place. little creepy town in a little creepy world .. &lt;3.. .. I love him so much ,0
Just woke up.. Me and d slept all the way to cobourg!  this blanket will tell many stories,4
Dreamed about Hilbert sixth problem  Lot of fun ,4
is in love with jason mraz. ,4
just at home today ,0
omg why is the weather soo buff!! ,0
I had so many dreams about you and me....happy endings now i knowww...  &lt;/3,0
wants to go bowling ,0
Last time walking on the beach after work for a while  gonna miss that!,0
@ELIZACUEVAS awww iwish I could go but I'm stuck here all night ,0
@Dannymcfly http://twitpic.com/3iqyf - hot  last night was amazing! thx guys ,4
@JRU_1962 sounds tiring  hahahaha,4
too much dominoes ,0
@roxiijonas its new-ish ,4
just finished watching UP again... why did i cry this time? i love double dating ,4
@youarefoxy don't be a panzy ,4
Back to the books. Studying for boards. ,4
"@99Lives_x  I worriedededed (whoa, stutter)",0
Tomorrow I get to change the strings on my Floyd Rose (licensed) Trem guitar for the first time.  Wish me luck!  ,4
This hubba Bubba is starting to hurt my jaw. ,4
@sudhahariharan A Dilbert moment ,4
is thinkingg. and I shouldnt be. ,4
@jack_p Oh no ,0
hurting hearts suck ,0
1:32 A.M. goin to sleep even though im not tired.. lol good night ,4
"@shanedawson Your new video was so sad  It was funny but the end was really deep and to those who can connect, it was really meaningful ",0
@TriciaRoxas walang food.  ),0
@iamsemmi yeah am ok thanks sweetie....  How are you today?,4
"@twinklyspangle it's lovely, and great to get such positive feedback as well ",4
@papalote415 SA-DU is never gonna download 6 hours 9 minutes remaining... meow. ,0
I shall wake up earlier tmr to continue work. Gd 9! ,4
"@Danger_Mouse thanks, glad you enjoyed it ",4
*sigh*  QI re-runs on Dave are a constant source of delight.  Especially when Jeremy's on there with his giggling and grinning ,4
"Didn't go to the gym today, I feel like a bum. I hurt tho ",0
 listening to @ddlovato music. ;) you're a trainwreck but i wouldn't love you if you changed..,4
working until 4:30 &gt; Prudence Island until Monday night ,4
"Is job hunting, finding it very stressful ",0
"@top5jamaica yeah man, they brought it back on the market a couple years ago...it scarce through ",0
"bleh, 4th year monday ",0
recording finished. time to go to work tired! ,4
@CatherineGM24 Im good  finally someone i actually no on this HAHA ,4
@justcallmetan trying to relax only one more week till vacation ,4
@_phantom_ I feel so weird right now. O_O and you're a very good stalker ,4
@shaaqT  ,4
@allconsoffun anymore ,0
"@babyjew RANDOM FACT OF THE NIGHT: while browsing, the first number i put in was one of those lmao ",0
"Finally signed up for Audible (after innumerable podcast ads) only to find that it's not compatible with my player.  Good going, Audible! ",0
i went home 12am fr our eastwood gala w/ kate and monica and up 4am to be here in the office before 6am. as usual i'm still alone   sleepy,0
Just finished a record! Yay! Last day in NY. ,0
@Hayl3eMarie yewww i cant believe i acctually finnished one song on that ,4
@chaselisbon we tried to DM you but your not following us ,0
@amazondotjon jon have you quit twitter ,0
20mins on the Bowflex now bfast and tv then listening to my lectures before I head to work! Busy bee ,4
@writinghonor @dd03 @nicholandria @suzanpetersen @TeresaMedeiros @TiannaXander @abookinhand Morning tweeters! Have a great day ,4
My twitter is not updating ,0
@jordanzafra forgot the name of the soro! Basta yan ung start. And walang physical hazing sa kanila. ,4
"At this point, anyone can win .. just get the race over with already! ",4
oh. my friend's not coming over this afternoon. I was really looking forward to seeing her!  MISS YOU @ilovelukelou xxx,0
STUFFING MY FACE W/ POPCORN ,4
@LoveKota Following  I so text you ho...,4
"@MyNameIsLaurrra  U need to get the rat phone pic of me mam, sss needs to go in the bathroom but someones beet me 2 it  x",0
dancing with myself ohohoh! ,4
@EthanSuplee just watched Pinky episode of My Name is Earl... It's one of your best one ,4
been off for sooooo long ...well im bak now whats up pplz ,4
07:35am here. Waiting for @garyphayes to make coffee *hint hint* Oh wait... only one of us can log onto 'net at a time. ,0
zoe is teething.. poor thing ,0
Tv arrived but can't play cos have to go to stupid work ,0
@PatronPay Awww ok baby  sowwie just wanted you to smile,0
mothers day drama was awesome! ,4
"@Gastos84 I can't believe I said &quot;there's&quot; and not &quot;theirs&quot;, more Relentless.  That's also a damn fine bank shot dude, not jealous ",0
@emmaxatl no i didnt get to go my bro was sick  i really want my ap like NOW!,0
@Senilius_110 thanks for the farty comment ,4
@seriouslynikki nooooooooooooooooooooooo  lame-status. I wish you could! but youll have fun at the grad performance,0
@fiiiwhore i was over 200 i had to deleat them all ,0
@jonnysmash123 You made 1500?? Duuuude wtf!! I hate you bro  xx,0
says Server too busy. Yadda yadda. What's next? Why am I so grumpy?  http://plurk.com/p/xnsr2,0
@katiekatetweets How's u? Thanks for *hug* Starting to feel wee bit better now thanx. Maybe we can meet for coffee some time next week? ,4
"again, my eyes are hurting ",0
is gonna cut my hair tomorrow; get streaks put in tomorrow night!  WOOO HOOO!,4
@emmy1124 U shouldn't have drunk all that caffeine ,4
@nkotbjunkie Life wasnt so great 12 years ago. ,0
i'm obsessed with FML. happy mothers' day ,4
@kirstiealley Hi Kirstie!!! ,4
"@Lynsey_xx my exam went rather well thanks! lynsey, i feel like i havent seen u for ages, it sucks  how are you? x",0
Gave a talk on &quot;Making sense of statistics&quot; to health service managers this morning. I think I made it too technical ,0
good mornin' one &amp; all just gonna relax today GO CELTICS?????  TWEET LATR...,4
"@hellokeena i know, but it wont be the same without youuu ",0
@officialtila tell ray-j i said wuz up ,4
"ready for nice weather, day drinking &amp; not to ever be a student again ",4
"I'm following back everyone that follows me, 151,000 myspace friends ask me how in a message ",4
"@Gem_W Each to their own, i suppose  I don't like biscuits with soft bits in. That includes your choice, curtard creams, jammie dodgers..",4
@chameee  everyone's so excited about the sequel of twilight twitterest  guess RP gained so much after he got the 'vampire' role ,4
@seattlegeekly i think i only have 10-12 downloaded. i've been lazy about listening ,0
@lovejonas23 thankss! you too ,4
"@SamanthaHunter I hear you. On vacation this week and it's supposed to rain every day.  At least I have my books, LOL",0
After seven hours....I am DONE with my project! ,4
"Multi pertransibunt, st augebitur scientis (Bacon). Let's move the universe, good morning ",4
atsunoko vs. Capcom coming to North America. ,4
What the hella buzzed ,4
"@StevenChristian i'm in France now i have things to do and people to see here, then i'll go back to dam, it's not that far anyway ",4
"I was awakened by my phone ringing... which brought me to reality... Unfortunately, reality consists of a heavy headache! ",0
Watching Hannah Montana **GO MILEY!!** Ha Ha! My sis is IN LOVE with that show! It really is a good show!! Ha Ha. ,4
Quite excited about my gorgeous meal I'm heading off for after this in London   More absolute randomness to add to my day!,4
this has been one of my worst days-i'm not going to 789  as a matter of fact i'm not ever going anywhere because my parents suck dick. yep,0
"@dashabbfan Nope, but its always good to be prepared! ",4
"@katrchrdsn Yep, not a tat mentioned yet.  @patricemichelle Very true, and about what those choices say about the book's setting.",4
is ill and trying to get some rest and drinks lots of fluids ,0
"@doriancollier yeah, for now  I went back last weekend and BOY oh boy was it fun",4
I have a few product ideas that I strongly feel could be great success in consumer market. But just don't know how to act on ,0
Getting fed up of poor memory mgmt on the bb - needs regular hard boots   #fb,0
so much fun at the wedding!  the dj played Unforgettable *they played it at grammas wake* jon and i danced to it while i cried ,0
@VeriSilvio ooh  that's pity,0
Just came home to a poor kitty dead on the road in front of my house  too sad... This is why cats should be indoor only in cities!!,0
@madmanweb somehow i can't imagine you listening to people's dukh bhari kahanis ,4
@miremaistin sent u an email with my email in it ,4
@jordanknight Yay for Twitpics!  Show us what we're all missing.   Give us a sneak peak of FULL SERVICE baby!,4
feels much better after dreaming about 26th Jan 09  http://plurk.com/p/z1gzo,4
Home from scrapping and hanging out with bri ,4
"doing #fridayfollow for the first time today, never done it before because dont want to hurt anyones feeeling that I dont include ",0
feels a lil better i kinda saved a dying mousie... from getn hit by a car but idk wut to do bout the posion it ate ,0
Nothing is on late night tv ,0
I want my happily ever after. I want a fairy tale ending. I want.. everything I thought I had. ,0
"@bunnylake baha It is my new favourite thing, perfectamondo pour le weather, I was hoping no one would notice ",0
what a life! Went home 11pm and in the office 830am already. ,0
is suffering from a headache ,0
yoga again today ,4
@thatdevingirl You need to take him down a peg or two ,4
Online na me just pm me  http://plurk.com/p/xx7ws,4
is drawing a picture for her bubba ,4
@claireliz81 Your name poofed from my IM list! ,0
@RonaldLGreene @giantpandadub @djtommiddleton @georgesolar @morningsteppa @jyonts0 @jitwmb # Follow Friday &lt;~THE MEN IN MY LIFE (&amp; Rachel ,4
@NikaMohar what kind of apartment are you looking for? Renting or buying? I might have some connections .. but cannot promise much ,0
its official. erins toes are bigger than mari's chiken wings. ahaaaa ,4
@gfalcone601 At least it`s sunny there. I was raining awhile ago.  Cheers from the Philippines.,0
@ColinCancer sounds fun! HAHA I'm going to bed...worked ALL day and I'm very tired...see you tomorrow night ,4
You fail only if you stop writing.  --- Ray Bradbury  &lt;-- I love that quote!!! ,4
finally joined twitter- better late than never.... so....follow me! ,4
going to have my always sweet dreams. ,4
My shoulder is burnt to all hell  ouch,0
had a great weekend!! learned how to dance LA SALSA  Super nice,4
#myweakness Backs/Strong backs! ,4
Being outside so long got my allergies bothering me. I scratched my nose so much its red as hell like I have a sore. I look like Rudolph ,0
Tummy hurts  Good thing mom's cooking today! ,0
Going to bed so I can get up early for dentist appointment ,0
@PhilStratton Awwww... you're sweet... but I can promise you there are lots of people that would disagree with you ,4
"@KGWSunrise Russ: Bad people will do bad things, no matter how secure we think we r. Its in their DNA ",0
@manerikarp : try it and see the results  u can concentrate on more imp things rather than being in loop,4
just made a twitter yay. ,4
@electrikitty nope. just enjoying not having to get up and go to work early in the cold cold morning. for THREE WHOLE WEEKS! ,4
"Going to church, no matter the reason, always makes me depressed.  going home to stew in my backslidedness.",0
@BornKing15 .. Welcome back KB .. &amp;&amp; I know what you mean I have insomnia as well  ..,0
Grrrr Red Wings ,0
@venlatina  Amen!! The best friend anyone could ever have ,4
"@sereda Hey, I didn't get one  I could use some licenses of code collaborator ",4
"@popjustice haha, I wish I knew! I can't figure it out. ",0
@dannygokey I haven't seen it but I am pretty sure you should show yourself outside US someday.  ,4
Omg it was 112 degrees this morning. It sure felt like it ,0
@CateP36 Nope. I skipped them. Can't waste my time on that. ,4
@everythingloria iChat? How does that work? I have two little ones I'd love to chat with. ,4
yaya finally got it to work...lol i got my picture thing to work ,4
I. Want. The. Jonas. Brothers. New. CD. ,4
@shanelover3 Happy Birthday to youuuuu!! Sure you can do it hun....can I have an invite to it tho lol ,4
Sushi &amp; now just prepping stuff for the fabulous Sex &amp; the City shower tomorrow  it's going to be amazing!,4
@scoooooooooooty.     so sorry,0
"i'm having problems losing wifi on my replacement iphone, i've tried everything &amp; am now restoring it, if no joy it'll have to go back ",0
@StarJanaeB well im still stuck on 20 followers  lmao,0
"@candizzles i know, sorry!  anna told me about it &amp; that's why im going! let's celebrate on sat too, k?",0
Time for a shower and then the Timshel Book Club mtg.  Love online book club party time. î,4
Just put lots of pic's on the facebook  Night all xxxx,4
"@MZJENNXO hehe! Dont be too happy yet, he'll wake you up early again! ",4
@DonnieWahlberg We trust you will.  Faith and love is all we got for you.,4
@Robert_day26 ~ Awwwww have fun with the fam boo boo ,4
Will The Hangover be released in Singapore?. Its funny  http://bit.ly/RP3km,4
Stupid oral exam. I have to wait till everyone else is finished till i can take it ,0
Joe.. I tried messagin you to let you know i was just going home i really didnt feel well.. Then i called but your phone is off  im s ...,0
@easyleesy lmfao  haha. Just maybe.. Just.. Maybee,4
"@mileycyrus hi miley! come to spain in tour, please.  good luck!",4
@Jonaayyy that sucks ,0
Camila is on her way to her house..and now I'm going to my grandpa's house ,4
@nicksilentdeath i failed  ,0
is thinking this work is not going tooo dooo itself!!!!  and doesn't feel tooo great :'(,0
"@ehmry816 actually, it's good evening here. ",4
Thundering Outside !!! I miss the monsoon rain... ,0
@brettprobert: yes! I'm so excited i'm already packing! Are you readyyy?! ,4
Stuck in studio. Lack of fun tonight. No hanging out with the apple peeps tonight. FAIL on my part. ,0
I GOT A MILEY WORLDDDDDD ,4
@KristennStewart What is the deal with all the hackers?  I'm sorry you keep having to create new accounts ,0
trying to look for some good soccer studs. i dont even know the F of Football ,0
"@MikkaDinah @Carmita_Guerra LOL!! Unfortunately yes! I've got to find some headphones with a mic, and finish the email! ",0
@meganmaloy thank you bb! ily. ,4
"@RightOnRev Dad, you're awesome! ",4
"@monthone  indeed, in paain, urgh lady pains! how are youu?",0
shower then ballfield perhaps?   party tanight! ,4
"I was hoping I could lose some weight this summer but if I continue to hog, I am not going to go anywhere but down ",0
@kellymoore09 Thanks. I'll bring still dessert though.  I gotta make a small contribution ,4
Relay was pretty awesome!! ,4
"Just showered and sholat, felt so nice to just lay in bed watching E! News. Wish I didn't hv to go to the big O tomorrow ",0
@buberzionist First I heard of it but sounds like him ,4
"@shanedawson i have a pink wig, but i dont think it would get to you in time lol ",0
Fwah. Working all alone again today...it's going to be boring. Wish I could still use my phone at work to chat with people ,0
"Zero 7 is on the playlist at this reception, feelin' nice and relaxed... It is DARK in here though. With a VERY high ceiling.... ",0
Home. Summer is going prettyy well. ,4
NO! dr. manhattan broke up....weaaaak! i loved them. ,0
"now that I'm finally done traveling for at least a month, I should get around to my Yelp reviews and whatnot ",4
Girlfriend is back home  now wait for weeks again till she's back (((,0
todays my day off and I totally wasted it!  minnies sniffing me and I want jamba juice! k halo time! ;),0
is definitely not wanting to revise ,0
"can someone say middle school drama!!!!! side note: need to wash my hair, but don't feel like it... ",0
Have to submit my Shapiro blog 3 - how annoying.. that means I have to re-type it again. Stupid Blackboard. ,0
"is supposed to be in bed  The ride side of my tongue isn't feeling ANYTHING. Bad, bad, bad.",0
"@gabbykronlein, @faithymarie, @tobyhart, @ohshorty, @hannah_rose, @shabaybe, @nickbean7, @chadthepirate... you guys are bomb. ",4
"@Kimblehh_Jane OMG Its your birthday tomorrow! I nearly forgot! I guess its past 12 over where you are, so Happy birthday my lovely  xxxx",4
"woke up at 3:15am AGAIN-my ear is hurting me again, mayb the way i was laying?hope it goes cos i will cry if im stuck in again all week! ",0
"ugh. talk about frustrating. I have to wait to get this stupid bank account set up before I get my money. I need cigarettes, too.  Sucks.",0
" am i losing my mind cause i wanna see my.TC on TV right now, this min? FU2 i want 2see CandyGirls!! not Daisy -dammit!! @iluvTerricka",0
I've no plans for today and heard weather is to change  what to do?,0
just bought Seth Godin's Tribes: http://tinyurl.com/myqcj4 and i'm reading it on my Sony Reader ( http://tinyurl.com/cph9de )..good life ,4
&quot;Don&quot; 647-8x3-7x9x no showed and no cancelled. Also 289-2x2-9x4x extremely rude and threatening over phone. Make gft girls sad &amp; angry. ,0
@DavidArchie glad you got back safely ! ,4
I'm a bit worried about the fact that a week from tomorrow is my last day as a full-time employee due to budget cuts at work.  ,0
@GonziAida get direct deposit ,4
@nsjewel Can I bring my rubber ducky float? ,4
@ddlovato oh I'm so happy that u r back! I missed you so much ,0
gonna pick my bro up. see ya guys.  moving up to facebook. bye - bye twitter.,4
"is up at KidsQuest, but he's not running on all cylinders  prayers would be nice.",0
@adrienne_j good stuff. Unfortunately I'm on the Touch and can't listen in ,0
@jimmyfallon MGMT is the best  please please please get them!! electric feel is their best song ,4
"@FireAnt10 I was attacked by two pitbulls, and can't walk at the moment..... I have 36 staples on my leg.... ",0
Hi all it a good day! ,4
"Number of viewers is going up (Thanks out there!), but no sales.  My Etsy store: http://bit.ly/OVVbv",0
Taking a train to Paris today. I miiish Lydia  Someone take her with me.,0
@gelliefish missing who's voice lai?? ,4
@sev215 u can never annoy me ,4
@QueenofSpain sure thing!  we're doing wings at Hooters before #techkaraoke - I&quot;m sure you're down ,4
@vonilicious *dances* you bet we'll have fun... so much fun... *dreams...* aah thats a million yrs from now ,0
"goodbye lasalle, hullo mdis. oh no, good bye to money too, hullo to endless begging for money. sigh ",0
doesnt like this waiting for real estate agents to ring ,0
i feel like an ant ,0
I'm stuck on my assignments. I have no idea. And due date is in two weeks ,0
Bad accident for Adrian Sutil during qualifying session for British Grand Prix. ,0
"@KeshiaChante Sweet to explain. I KNEW what u meant, cuz ...well i knew! ",4
@CuttaC hopefully!! too bad i cant see you ,0
Should I go for check-up? Fakhirah told me need to take blood test and that's what I fear most ! ,0
@PeterDeeTM how about twittin a LIIIITTLE dean keally hint? ,4
@miss_r0ss I LOVE THE FACT THAT I RRITATE PEOPLE. haha.. I was just telling my dad that the other day. LAKERS!!!! ,4
watching spongebob and playing with my phone not really in a good mood ,0
@mhiggz I just drove by your house *beep beep* ,4
@dougiemcfly please please PLEASE say hey to @elliemcfly she loves you! pleaseee!  xxxxx,4
@dennisirby Don't tell mom   See you on Friday!  (Surprise if you didn't know yet!  LOL),4
I'm not doin very well...very rough night ,0
have a great day folks!!! i justtt got back from a roadtrip!  had a super great time!,4
@speeddiva AWWWH  how is everything going?,4
@sockington Do you have a girlfriend Sockington? My cat Freya thinks you're hot!! ,4
The ruins! God i love movie channels ,4
"I cannot get the prospect of an ice cold negra modelo off my mind right now. i need a break, i feel torn in all directions ",0
@natduncan coffee sometime? ,4
@Nololos Anything for you!!! Always  xoxoxo So still no word from Chicken?  I wonder if she had a trip planned?,4
I hope my ad is okay!! ,0
"DAMN, i can't believe Prison Break found an end! I will MISS the show ",0
Haha i used to be your angel but you kind of cut off my wings spit on me and walked all over me  hell ya i am moving on finally,4
My mouth hurts ,0
 almost done wit the painting tired as crap. Sleep time.&quot;in love with u&quot;- ziggy marley and erykah badu,4
@omgitsafox http://twitpic.com/6b838 - That's really pretty. Good pictures always happen when someone has a flower in their hair ,4
"She also met James Morrison and Peter Kay. About time she met some shlebs on the job, not too jealous  off to have coffee with my pa cyah!",4
@kosheracademic seems you shared your cold with me  - r u feeling any better?,0
@stevenbward hey are you single? just askin lol! ,4
is home from orientation ,4
"dear computer dork, please be able to fix my hard drive without losing everything  i will love you forever.",0
morning to those waking up  how is everyone. Not tweeted properly in 2 days or so as ive been busy,4
@ss25 girl several people but mainly 2 people in my life... ,0
@MsDi3verse what if you are allergic to walmarts ,0
@TulsiiV OMG send me a picture  Do they have macs on them or something??,4
@imjstsayin I think so. I know perfect people.  love them but I would not call them out on a Sat night,0
"Some have already left my life , some left footsteps in my life which I'll never forget. ",4
@angusirvine happy bday pooch! ,4
"@ChuckNut no, I don't even have a YouTube account. ",0
first lesson SCIENCE !... ,4
"@janinaz http://twitpic.com/67dl7 - haha, thats funny ",4
i L0ve the rain. ,4
LOL @ Jon and Kate! SO sad actually. Poor kids. ,0
going too guitarr lessons ,4
Home from ALC!! Lookin great! Now for a couple hours sleep! ,4
"@bernieninjajoe this is in Richmond it gorgeous right on my inlaws doorstep, Ted goes here on his jollies..I miss it so much ",0
@Amathria ughs that sucksm sorry to hear that bout ur headaches. ,0
looooooonnnng day ahead...i better get a new job from doing all this frigging work ,0
@annevk woot! see you at Opera. You've gotta come around for dinner this week ,4
@SpannerFrog IT'S OKAY BECAUSE I CAN BUG YOU THROUGH HERE AS WELL ,4
@kingrool ooh.. thanks for the suggestion! i'll check out the song! ,4
#BGT is Shaheen shouty? still think he has a career in the making ,4
my god. Might have bitten off a bit more than I can chew with the mootools intellisense - taking agesssss and its so nice outside ,0
@nadiaputr hey!!!! Gue di bandungggggggg hahahaha. Tp ntar sore eke pulang ,0
I'm so bored!!!! I'm kinda watching Friends  and now I'm gonna lunch!!! see you later lol,4
@MSWindows That really is one of the most played ever but... my heart is with the good old Nibbles in DOS' qbasic! ,4
Restroom again! ,0
Lolz they have rearranged the seat reservations and we are &quot;stuck&quot; in first class ,4
@itscarnio FUCK OFF SAM  AND @MatthewGlitch IM NOT RUNNING TO BGT FOR MY ACT LOL,0
@SAPNA -  You're right - they still fooking rock backwards though! ;),0
youtube ,4
@baise OKAY YAY!!! SOOONER THAN LATER. email me. I'll tell you what I have instore ,4
i loveeee dairy queen food fights &lt;3 ,4
"cleaning up from painting - not to self, next time remember  that the paint thinner can looks the same as the contact cement can ",0
and my busy/fun week begins ,4
@ego2205 hecksss yaa!! i miss you and ja-hon and baw-bee ken-nay-dee ,0
"Why are we stuck in this pantomime, fearing a God who died - one who would not deny lovers? &lt;3 I'm having a lyrical tweet-a-thon today. ",4
@DavidArchie - &quot;Hush cats! People are trying to sleep! You shouldn't fight anyway.&quot; Thanks for the laugh. ,4
"@MelissaRycroft2 I've always wondered this about you, what background are you? Like I know you are American, but anything else? Thanks! ",4
@Jayrbrklyn what house warming gift?? man i missed my flight  my kick been dead all day,0
@theDebbyRyan Thanks !!  Love from FRANCE !!! Have a great day !! xoxo  ,4
I lost all my ipod songs... now ny soundtrack is empty!! ,0
feels soooo sick right now. All I really want to do is sleep but I can't ,0
Just wokey the upy ,0
hate waiting to do a pitch... Feel sick ,0
"Dear gods, i love Canadian accents...  Hi Toronto, by the way!",0
Myliferecord now crashes on launch. Totally bummin till they update ,0
attack of the Ex's. episode 2: The Athlete from H.S.....only me.  I don't mean to be an asshole I haven't spoke to you in a year for a rea,0
@tommcfly what did the times say? and thank you ,4
@tweetolumen hello ,4
@JonnyClash how did you passed 1600 error ??? ,0
Will&amp;Grace &lt;3 Everyones sleeping except me and arren.  Im going to sleep.  Goodnight ,4
@AislingAllum He hasn't arrived yet  Top Gear and trashy daytime TV all the way!,0
"hiy fellow twitters, sorry its been a while but my leg is still hurting a lot... not sure why but think its getting worse   how r we all?",0
At oak park with Kitra ,4
Charlie being a cuddle whore http://twitpic.com/5desz (via @Notrox) LOL wicked bro ,4
"@BT_Halle I hope not!  I wish Jon hadn't said that but yeaa, like he said - he was only being realistic.",0
@LostMarilyn Happy to help!  Thanks for reading. ,4
@piawaugh Awesome ,4
Testing out twitterfon.....I wish I had an iPhone ,0
@Liquid4Health Not a bad at all! ,4
"School, working on the courtyard today so no class  text me though im guna get boreddd. 2018389861&lt;3",4
gossip girl season II last episode airing today ,4
@ProgrammerDan Not dangerous.  Just incredibly dumb.  ,0
The end of Egoland. http://egoland.dk/ You don't know what you've got until it's gone ,0
@tommcfly Hello Tom  how are youuuuu  tweet backkkk xx,4
Sad day last time i get to see @bmwsob I could have talked at our taco bell all night.  well life goes on. Best wishes 2 all my away pple,0
about to head to Walmart...Ughhh another boring Day ,0
@krahl i'll be at my pops tomorrow-thurs. then i work till sat.  but i will know friday what next week looks like. i can always take off!!,0
training day today  it would be okay if i didn't have to do this every year.  fun thing is Michael Muhney on Y&amp;R tonight! exciting,0
@Pink woot!!  Australia loves you!,4
Beleives that it time to play some guitar. &lt;3 Gotta Love the Music &lt;3 @eddieizzard LEGEND  Take Care x,4
@dannygokey Is it true that u are going on DWTS?! what about your music? ,0
Going to bed in Parksville tonight- great day with the King family!! ,4
"@ryanseacrest tune in to Univision, seriuosly Mujeres Asesinas is the Bomb! Crazy!!!  I will tune in in am. @ 102 7 ",4
@Janetdawson2009 I can't find you on Facebook. ,0
Still no word on my car.  ,0
@kookijhe why limit your story to 140 ch. Tell all what is annoying you at www.iamsoannoyed.com ,4
I'm starting to get hungry ,0
Done with eating  I'm not satisfied with the food but it was cool going there and finally talking to someone (like at least 30 words),4
Borrowing my Mom's Lenovo laptop The trackpad and the battery life suck balls for quarters. Seriously missing my MacBook Pro ,0
"I need $67 for Bob Dylan in Syracuse...pay check, come soon ",0
One of my best friends gave birth 2 weeks ago &amp; had a lunch w/2 other great friends. W/c I had to miss  One NEEDS these girls' lunches,0
@Woahitssarah that makes me unbelievably sad that the answer to that question on tumblr was yes  like.. so sad.,0
@irenecarag HAHA yaaaaay!  next week it is then! hahaha,4
Missing monkey ,0
"@AndreaVick for the soccer game songs? they're not up yet, i'm waiting for them, haha! ",4
Ummm intervention I'm an alcoholic and abuse drugs and I drink hand sanitizer cause I'm desperate to get drunk anthony I wanna cuddle you ,0
gagal deh sunday work out..... ,0
@tatosmusic lean like a cholA! ,4
working for my business &amp; music ,4
"is going to sit on the couch, eat some spinach lasagna and either fall over and sleep, play animal crossing, or sew ",4
cant stop thinking about my ipod. ahhhhhhhhhhhhhhhhhhh             r.i.p. giraffes rock      i sure hope this rice helps!!!!,0
@BrookeJasmyn awww steam when I get back...it's sooooo beautiful out here...miss the fam trips ,0
"@CardsNC I'm doing awesome Devin, thank U! U making the most of your wknd? Get on Facebook so I can drool over pics of NC! ",4
@JodiAlbert oh i know the feelin i'm goin to the docs about my hayfever too! nothin seems to be helpin ,0
@ohaiyuriko Awww I haven't had one of those in a long time ,0
missed home ,0
"Working, It is wayyy too early in the morning! haha My love returns today! Yayy  haha",4
@blindcripple i have a serious tequila craving. but not in ct ,0
You're forgiven @AshleyEMeeks plus you wrote on my FB so we're good ,4
@MrRiza007 yes i did...... i love 2pac and i was mad he wasnt a trending topic 2day ,0
@trickymoreira Have a good night! enjoy the silence ,4
@melapoo lol Cool. I keep getting the weird ones. I got the communicator today. Getting another kids meal tonight.  I hope I get a person.,4
@FinalCylon it'll get better ,0
i can hear my sister and her friends watching Transformers. While i am in my room.. Alone ,0
First tweet. chirp......chirp ,4
With Jordyn. Going to the Eastfield mallll soon. ,4
is playing grand theft auto!  i did all 50 stunt jumps fuck yes :],4
@goldfries bro u should b here at #Shootfest as well ,4
well dis is new... Very intresting. not all dat exciting yet tho  well yea ima follwer YESSS! dats a GREAT start &lt;b&gt;love&lt;/b&gt;,0
is it time for dinner yet? i just wanna go home ,0
Textures will have to wait... no camera to borrow ,0
exhausted.... long work day!     y do i do it?  arrgh... retail life...,0
"@palais1977 Oh, I can't remember when exactly they aired when I was a kid.. ",4
